SMILES,Kinetic solubility in PBS (uM),logS
Cc1ccc(S(=O)(=O)OC2CC(OCc3ccccc3)C(O)C(OS(=O)(=O)c3ccc(C)cc3)C2)cc1,195.3976665927825,-3.7090806268604872
N=C(N)NC1CC=CCC1,195.2241462419815,-3.7094664677599534
COC(=O)N(C)C(=O)c1ccccc1,195.2174909736945,-3.709481273282815
CC(C)(C)OC(=O)N1CCc2ncc([N+](=O)[O-])cc2C1,195.124708909545,-3.70968773181715
CCN(CC)CCCNc1nc2ccc3[nH]ncc3c2c(=O)[nH]1,194.9617150131155,-3.7100506634629684
COC(=O)c1ccc(O)c(Cl)c1,194.5185209517895,-3.711039041308869
O=C(NCC1CC1)Nc1cc(-c2ccc(F)cc2)sc1C(=O)O,194.318576084422,-3.7114856805873635
COc1ccc2c(c1)c(NCCN(C)C)nc1c3ccccc3c(NCCN(C)C)nc21,194.116577097588,-3.7119373753040827
CC1=CC(=C2C(=O)N(c3ccccc3)N=C2C)N2N=CSC2=N1,194.0106893869125,-3.7121743411323544
O=C1Nc2c(cc[nH]c2=O)Oc2ccccc21,193.629551197734,-3.713028361166462
CC(=O)CC1C(=O)N=C(c2ccccc2)NC1=O,193.26274980343,-3.7138518454736804
Nc1cccc(NC(=O)c2cn3ccccc3n2)c1,193.110330861464,-3.7141944920615493
CCN(Cc1ccccc1)C(=O)Nc1c(-c2ccccc2)csc1C(=O)O,192.9605109047095,-3.7145315596497976
CC(C)(C)[Si](C)(C)OCC1OC(n2cnc3c(N(C(=O)c4ccccc4)C(=O)c4ccccc4)ncnc32)C(O)C1O,192.928694933641,-3.7146031734731113
O=C1OCc2cc3c(cc21)OCO3,192.5364474502735,-3.715487045749151
CC(C)(C)NC(=O)Nc1ccsc1C(=O)O,192.374192853564,-3.7158531893305944
COc1ccc(C(=O)Oc2cc(-c3cc(=O)c4c(O)cc(OC5OC(COC6OC(C)C(O)C(O)C6O)C(O)C(O)C5O)cc4o3)ccc2OC)cc1,192.3189625476665,-3.71597789244482
Cc1nc(CS(=O)(=O)c2ccccc2)c([N+](=O)[O-])n1CC(C)O,192.30911346301,-3.7160001342071136
N#Cc1ccc(C(=O)CS(=O)(=O)c2ccc(F)cc2)cc1,192.192259321666,-3.716264107830761
CN1CCNC(CC(=O)Nc2ccccc2)C1=O,191.9551601713225,-3.716800208611391
O=[N+]([O-])c1ccc2[nH]ccc2c1,191.8978349120435,-3.716929925165814
Cc1cc(C2=CC(C)(C)NC(C)(C)C2)cc(C)c1O,191.656024599228,-3.717477524392532
Cc1ccc(-c2cc(NC(=O)N3CCC(C)CC3)c(C(=O)O)s2)cc1,191.63332597826,-3.717528962742332
NC(=O)NC1(C(=O)O)CCCCC1,191.5277849440175,-3.7177682140057744
Cc1ccc(S(=O)(=O)NC(=O)c2c(C)cccc2-c2ccc(Br)cc2)cc1,191.48789935414,-3.717858665088401
NC(=O)c1ccc(C(=O)O)cc1,191.2015544915805,-3.718508581179316
CS(=O)(=O)c1ccc(N(CC(=O)O)C(=O)c2ccc(Cl)c(Cl)c2)cc1,190.5946469329065,-3.719889301180101
Cn1cnc(CS(=O)(=O)c2ccccc2)c1[N+](=O)[O-],190.2562375932045,-3.7206610958824786
COc1ccc(-c2nc3n(c2[N+](=O)[O-])CC(C)O3)cc1,189.8632446242,-3.7215591016236216
CC(=O)OCc1nc2ccc(Cl)cn2c(=O)c1-c1ccc(F)cc1,189.820924638608,-3.721655915437738
O=C(O)COc1cccc(C(CC(=O)O)NC(=O)C(F)(F)F)c1,188.83647798742152,-3.7239141082455074
CN(C)Cc1c[nH]c2ccc([N+](=O)[O-])cc12,188.753402108138,-3.7241052118657905
COC(=O)c1scc(C)c1NC(=O)C=Cc1ccc(O)c(OC)c1,188.388580898096,-3.724945425339552
CC1CCCN(C(=O)Nc2cc(-c3ccccc3)sc2C(=O)O)C1,188.11734155865,-3.7255711672562084
COc1ccc(C2C(C(=O)c3ccco3)=C(O)C(=O)N2c2ncc(S(=O)(=O)c3ccc(F)cc3)s2)c(OC)c1,187.920387385488,-3.726026100960089
COc1ccc(-c2cc(NC(=O)N3CCCC3)c(C(=O)O)s2)cc1,187.55877151998695,-3.7268626204834017
Cc1ccc2c(c1)NC(c1ccccc1)C1=C(COC1=O)N2,187.5519526771525,-3.72687840987904
O=S(=O)(NCCCO)c1cccc2cnccc12,187.4286820975055,-3.727163948541496
O=C1OC2=C(CCCC2)C(=O)C1C(=O)c1ccccc1,187.381671564583,-3.7272728911838064
O=c1[nH]cnc2occ(-c3ccccc3[N+](=O)[O-])c12,187.3434487126165,-3.727361489320686
O=C1CCCC(c2ccc(F)cc2)=NN1CCN1CCCC1,187.1507439574495,-3.727808442148422
O=C(O)C1CCCCN1C(=O)c1cc2c(cc1[N+](=O)[O-])OCO2,187.14046082466848,-3.727832305427962
O=c1ccn(C2OC(COC3OC(CO)C(OCc4ccc5ccccc5n4)C(O)C3O)C(O)C2O)c(=O)[nH]1,186.8943322009655,-3.7284038689323973
O=C(NC1CCCCCCC1)C1CC(O)CN1C(=O)c1ccc2c(c1)OCO2,186.70816597094552,-3.7288366870934206
O=c1[nH]c(=O)n(COCc2ccccc2)c2ccsc12,186.586920862203,-3.7291188021567767
Cn1c2c(c3ccccc31)C(=O)CCNC2=O,186.1426423858345,-3.730154125356857
NC(=O)CS(=O)Cc1ccccc1,186.10304789550048,-3.7302465141698353
CNC(=O)Nc1sccc1C(=O)O,185.7081870357095,-3.7311689497548035
C[N+](C)(CC(=O)O)Cc1cccc(I)c1,185.625942396885,-3.7313613284809186
O=C1CCC23C=CC(=O)NCCCCNCCCNC(=O)C=Cc4ccc(c2c4)OC3C1,185.4234474545025,-3.731835348636865
COc1cccc(CN2CCN(CC(=O)NC3CC(=O)c4cc(OC)c(OC)cc43)CC2)c1,185.023553796872,-3.732772981689529
O=C1NCc2cccn2-c2ccsc21,184.43262509580148,-3.734162252231387
O=C1c2ccccc2OC1(O)Cc1ccccc1,184.4281327878475,-3.734172830665193
CCOC(=O)N(C(C)C)C(C)Cc1cc(I)c(O)c(Cl)n1,184.3860828751865,-3.7342718617997686
O=c1[nH]c(N2CCCC2)nc2ccc(F)cc12,184.3152077828605,-3.7344388298178397
O=c1[nH]c2c(c3occc13)CCC2,183.911037232096,-3.7353922062423135
N#CC(C#N)=NNc1ccc(F)cc1,183.55149312168248,-3.736242078324963
O=C(Nc1ccccc1)c1sc2ccccc2c1O,183.41797933245,-3.736558095371789
CC1=C2CCCCC2(O)OC1=O,183.244787489976,-3.7369683702832166
NCC1OC(OC(c2cn(CCc3ccc(-c4ccccc4)cc3)nn2)C2OC(n3ccc(=O)[nH]c3=O)C(O)C2O)C(O)C1O,183.0468887531905,-3.7374376484202774
COC(=O)c1c(C)nc(C)c(C(=O)OC)c1-c1cccs1,182.98963207372748,-3.737573516065886
COc1ccc(-c2cc(NC(=O)NC3CCCCCC3)c(C(=O)O)s2)cc1OC,182.9807792355625,-3.737594527265951
CCC12CCC1NC(=O)NC2=O,182.9231034894995,-3.737731438950384
CN1N=C(c2ccccc2)Cc2ccccc2C1=O,182.4764342278895,-3.738793214197222
CCCCC(NC(=O)C(NC(=O)C(NC(=O)C(CCC(=O)O)NC(C)=O)C(C)C)C(C)CC)C(=O)O,181.85016061804748,-3.7402863110211424
O=C(NC1CC=CC1)c1ccccc1,181.75221147469,-3.74052029614754
C#CCSc1nc(O)cc(O)n1,181.48237775050552,-3.7411655393180823
COc1ccc2c(c1)c1c(NCCCN(C)C)ncc(C)c1n2C,181.42258205436,-3.74130865635416
O=C1OC(c2ccccc2)=NC1=Cc1ccc(O)cc1,181.408556686255,-3.7413422319728284
CC(C)(CCl)C(=O)Nc1ccc(C(=O)NCCCCCC(=O)O)cc1,181.294388043622,-3.7416156392547926
CCOC(=O)c1ccccc1C#N,181.22858817165505,-3.7417732928298424
COc1ccc(Nc2c(C)c[nH]c(=O)c2[N+](=O)[O-])cc1,181.189121177142,-3.741867881463675
CC(C)NCC(O)COc1ccc(CC(N)=O)cc1,180.8168316831685,-3.742761144840289
CCCNC(=O)Nc1ccnc2cc(-c3cnn(C)c3)cnc12,180.7953176447495,-3.742812821357227
CC12CCC(c3nc4cc5cn[nH]c5cc4nc31)C2(C)C,180.66253457226,-3.7431319012051962
COc1cc(C(=O)c2ccccc2)ccc1NC(C)=O,180.4663895848525,-3.743603670085297
Cc1cccn2c(=O)nc(NC(C)(C)C)nc12,180.388754450316,-3.7437905401444245
CCOC(=O)C1CCN(C(=O)Nc2cc(-c3cccs3)sc2C(=O)O)CC1,179.74941170834649,-3.745332522320529
O=Cc1c(O)ccc2oc([N+](=O)[O-])cc12,179.517070345565,-3.7458942478968433
O=C1CSCCN1,179.1448970957495,-3.746795558107532
CC(C)CC(NC(=O)C(C)N)C(=O)NC(C(=O)NC(CCC(=O)O)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCCN)C(=O)NC(C)C(=O)NC(C)C(N)=O)C(C)C,179.0035694839375,-3.747138308731163
